Vertices,Alpha(g),Number Of Roots,Number Of Max Points,Number Of Min Points,Polynomial,Degree Array,Max Deg
10,12,3,0,2,1 + 20*X + 170X^2 + 811X^3 + 2424X^4 + 4812X^5 + 6551X^6 + 6206X^7 + 4094X^8 + 1855X^9 + 556X^10 + 100X^11 + 8X^12,[ 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 4 4 4 ],4
10,12,4,2,4,1 + 20*X + 169X^2 + 794X^3 + 2305X^4 + 4356X^5 + 5501X^6 + 4689X^7 + 2692X^8 + 1026X^9 + 250X^10 + 35X^11 + 2X^12,[ 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 ],3
10,16,2,2,3,1 + 20*X + 170X^2 + 842X^3 + 2811X^4 + 6849X^5 + 12725X^6 + 18462X^7 + 21156X^8 + 19197X^9 + 13732X^10 + 7657X^11 + 3263X^12 + 1028X^13 + 226X^14 + 31X^15 + 2X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 4 7 7 ],7
10,13,3,2,3,1 + 20*X + 170X^2 + 815X^3 + 2489X^4 + 5188X^5 + 7693X^6 + 8298X^7 + 6546X^8 + 3732X^9 + 1489X^10 + 391X^11 + 60X^12 + 4X^13,[ 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 4 4 5 ],5
10,17,6,0,1,1 + 20*X + 170X^2 + 865X^3 + 3018X^4 + 7727X^5 + 15087X^6 + 23008X^7 + 27826X^8 + 26920X^9 + 20887X^10 + 12949X^11 + 6344X^12 + 2406X^13 + 682X^14 + 136X^15 + 17X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 4 4 11 ],11
10,17,2,2,2,1 + 20*X + 171X^2 + 861X^3 + 2971X^4 + 7568X^5 + 14817X^6 + 22811X^7 + 27950X^8 + 27394X^9 + 21469X^10 + 13379X^11 + 6552X^12 + 2471X^13 + 694X^14 + 137X^15 + 17X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 7 9 ],9
10,16,3,1,3,1 + 20*X + 167X^2 + 814X^3 + 2681X^4 + 6445X^5 + 11778X^6 + 16691X^7 + 18498X^8 + 16062X^9 + 10890X^10 + 5710X^11 + 2273X^12 + 665X^13 + 135X^14 + 17X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 6 8 ],8
10,17,1,2,2,1 + 20*X + 171X^2 + 853X^3 + 2894X^4 + 7260X^5 + 14019X^6 + 21324X^7 + 25902X^8 + 25301X^9 + 19888X^10 + 12508X^11 + 6212X^12 + 2382X^13 + 680X^14 + 136X^15 + 17X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 5 5 9 ],9
10,16,4,2,3,1 + 20*X + 168X^2 + 826X^3 + 2741X^4 + 6594X^5 + 11947X^6 + 16675X^7 + 18181X^8 + 15589X^9 + 10504X^10 + 5512X^11 + 2209X^12 + 653X^13 + 134X^14 + 17X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 4 5 8 ],8
10,13,1,1,1,1 + 20*X + 169X^2 + 802X^3 + 2411X^4 + 4900X^5 + 6995X^6 + 7174X^7 + 5346X^8 + 2896X^9 + 1124X^10 + 300X^11 + 50X^12 + 4X^13,[ 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 4 4 4 ],4
10,15,2,3,3,1 + 20*X + 168X^2 + 815X^3 + 2619X^4 + 6016X^5 + 10307X^6 + 13479X^7 + 13610X^8 + 10638X^9 + 6396X^10 + 2907X^11 + 966X^12 + 221X^13 + 31X^14 + 2X^15,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 4 4 8 ],8
10,11,4,4,4,1 + 20*X + 169X^2 + 792X^3 + 2289X^4 + 4298X^5 + 5378X^6 + 4506X^7 + 2481X^8 + 850X^9 + 160X^10 + 12X^11,[ 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 3 5 ],5
10,15,3,2,2,1 + 20*X + 169X^2 + 819X^3 + 2599X^4 + 5838X^5 + 9740X^6 + 12419X^7 + 12281X^8 + 9456X^9 + 5635X^10 + 2555X^11 + 854X^12 + 199X^13 + 29X^14 + 2X^15,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 3 6 6 ],6
10,15,1,1,1,1 + 20*X + 167X^2 + 787X^3 + 2415X^4 + 5253X^5 + 8609X^6 + 10904X^7 + 10824X^8 + 8444X^9 + 5137X^10 + 2390X^11 + 821X^12 + 196X^13 + 29X^14 + 2X^15,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 4 4 4 6 ],6
10,15,3,2,3,1 + 20*X + 171X^2 + 829X^3 + 2564X^4 + 5444X^5 + 8389X^6 + 9777X^7 + 8831X^8 + 6248X^9 + 3458X^10 + 1476X^11 + 471X^12 + 106X^13 + 15X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 4 4 4 4 ],4
10,18,3,1,2,1 + 20*X + 168X^2 + 895X^3 + 3346X^4 + 9283X^5 + 19851X^6 + 33540X^7 + 45474X^8 + 49907X^9 + 44473X^10 + 32110X^11 + 18642X^12 + 8581X^13 + 3061X^14 + 816X^15 + 153X^16 + 18X^17 + X^18,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 5 14 ],14
10,15,1,1,1,1 + 20*X + 171X^2 + 838X^3 + 2676X^4 + 6013X^5 + 10007X^6 + 12687X^7 + 12444X^8 + 9493X^9 + 5610X^10 + 2531X^11 + 846X^12 + 198X^13 + 29X^14 + 2X^15,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 4 4 7 ],7
10,14,3,3,4,1 + 20*X + 169X^2 + 803X^3 + 2418X^4 + 4965X^5 + 7302X^6 + 7917X^7 + 6401X^8 + 3852X^9 + 1704X^10 + 541X^11 + 118X^12 + 16X^13 + X^14,[ 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 5 5 ],5
10,16,2,1,2,1 + 20*X + 171X^2 + 840X^3 + 2713X^4 + 6260X^5 + 10877X^6 + 14627X^7 + 15485X^8 + 13015X^9 + 8688X^10 + 4568X^11 + 1856X^12 + 563X^13 + 120X^14 + 16X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 4 4 4 7 ],7
10,13,4,2,2,1 + 20*X + 168X^2 + 785X^3 + 2281X^4 + 4380X^5 + 5790X^6 + 5431X^7 + 3695X^8 + 1844X^9 + 670X^10 + 170X^11 + 27X^12 + 2X^13,[ 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 4 ],4
10,14,3,1,3,1 + 20*X + 168X^2 + 799X^3 + 2445X^4 + 5193X^5 + 8029X^6 + 9287X^7 + 8123X^8 + 5354X^9 + 2615X^10 + 916X^11 + 217X^12 + 31X^13 + 2X^14,[ 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 4 4 6 ],6
10,17,2,1,1,1 + 20*X + 169X^2 + 847X^3 + 2956X^4 + 7699X^5 + 15490X^6 + 24506X^7 + 30760X^8 + 30747X^9 + 24453X^10 + 15379X^11 + 7553X^12 + 2835X^13 + 785X^14 + 151X^15 + 18X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 8 9 ],9
10,16,3,1,2,1 + 20*X + 170X^2 + 826X^3 + 2627X^4 + 5971X^5 + 10242X^6 + 13700X^7 + 14549X^8 + 12349X^9 + 8357X^10 + 4458X^11 + 1834X^12 + 561X^13 + 120X^14 + 16X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 4 4 5 6 ],6
10,11,4,2,2,1 + 20*X + 169X^2 + 791X^3 + 2257X^4 + 4072X^5 + 4667X^6 + 3323X^7 + 1389X^8 + 308X^9 + 33X^10 + 2X^11,[ 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 ],3
10,14,3,1,3,1 + 20*X + 169X^2 + 805X^3 + 2459X^4 + 5183X^5 + 7884X^6 + 8893X^7 + 7544X^8 + 4826X^9 + 2307X^10 + 804X^11 + 194X^12 + 29X^13 + 2X^14,[ 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 4 6 ],6
10,13,3,2,3,1 + 20*X + 170X^2 + 816X^3 + 2490X^4 + 5159X^5 + 7549X^6 + 7975X^7 + 6131X^8 + 3409X^9 + 1339X^10 + 353X^11 + 56X^12 + 4X^13,[ 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 4 6 ],6
10,17,2,1,1,1 + 20*X + 170X^2 + 855X^3 + 2940X^4 + 7472X^5 + 14645X^6 + 22620X^7 + 27813X^8 + 27331X^9 + 21452X^10 + 13377X^11 + 6552X^12 + 2471X^13 + 694X^14 + 137X^15 + 17X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 8 8 ],8
10,15,3,1,1,1 + 20*X + 166X^2 + 789X^3 + 2468X^4 + 5483X^5 + 9064X^6 + 11483X^7 + 11340X^8 + 8778X^9 + 5293X^10 + 2440X^11 + 831X^12 + 197X^13 + 29X^14 + 2X^15,[ 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 5 5 5 ],5
10,13,4,2,2,1 + 20*X + 169X^2 + 808X^3 + 2475X^4 + 5196X^5 + 7761X^6 + 8393X^7 + 6586X^8 + 3706X^9 + 1454X^10 + 377X^11 + 58X^12 + 4X^13,[ 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 3 7 ],7
10,16,4,1,3,1 + 20*X + 170X^2 + 848X^3 + 2848X^4 + 6940X^5 + 12824X^6 + 18443X^7 + 20935X^8 + 18853X^9 + 13435X^10 + 7496X^11 + 3208X^12 + 1017X^13 + 225X^14 + 31X^15 + 2X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 4 6 8 ],8
10,17,2,1,1,1 + 20*X + 171X^2 + 870X^3 + 3054X^4 + 7920X^5 + 15671X^6 + 24168X^7 + 29458X^8 + 28600X^9 + 22165X^10 + 13663X^11 + 6630X^12 + 2484X^13 + 695X^14 + 137X^15 + 17X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 4 12 ],12
10,14,3,1,3,1 + 20*X + 170X^2 + 819X^3 + 2522X^4 + 5314X^5 + 7990X^6 + 8784X^7 + 7134X^8 + 4273X^9 + 1864X^10 + 578X^11 + 122X^12 + 16X^13 + X^14,[ 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 6 ],6
10,13,7,4,3,1 + 20*X + 168X^2 + 793X^3 + 2368X^4 + 4768X^5 + 6723X^6 + 6777X^7 + 4912X^8 + 2537X^9 + 911X^10 + 217X^11 + 31X^12 + 2X^13,[ 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 3 3 6 ],6
